Count,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Target
64,0.0406666666666666,-0.971866666666666,0.239599999999999,-2.5784,-0.538133333333333,-2.45733333333333,Not Fall
65,0.851333333333333,-0.0554666666666666,598,-5.26093333333333,-0.513733333333333,-0.7532,Not Fall
66,0.7392,26,0.695333333333333,-7.99826666666666,2.97773333333333,-5.99306666666666,Not Fall
67,0.673333333333333,0.0608,0.702666666666666,-3.60133333333333,0.840533333333333,-0.921466666666666,Not Fall
68,0.796533333333333,0.102666666666666,0.675466666666666,-8.9756,2.82226666666666,-1.45679999999999,Not Fall
69,0.791733333333333,0.0444,0.7056,-6.0468,0.0294666666666666,-1.41599999999999,Not Fall
70,0.623066666666666,0.0954666666666666,0.752533333333333,-3.34573333333333,-0.981066666666666,-0.515733333333333,Not Fall
71,0.685733333333333,0.2132,0.6436,-4.52119999999999,-0.324533333333333,-0.884266666666666,Not Fall
72,-0.450533333333333,-742,0.445466666666666,-4.09213333333333,0.478266666666666,0.561733333333333,Not Fall
73,0.835466666666666,0.0282666666666666,624,-5.31253333333333,0.385733333333333,0.692399999999999,Not Fall
74,-0.4644,-0.597866666666666,0.461999999999999,-4.32986666666666,4.072,-1.3272,Not Fall
75,-0.333066666666666,-0.662666666666666,0.618533333333333,-1.5272,-0.437866666666666,-0.366133333333333,Not Fall
76,0.617733333333333,0.919066666666666,-0.00693333333333333,-1.5244,9.324,4.29986666666666,Not Fall
77,0.1,-0.957199999999999,0.2464,-4.76293333333333,-0.116933333333333,-2.18906666666666,Not Fall
78,0.7672,0.144266666666666,0.760133333333333,-8.40933333333333,0.208133333333333,-0.392399999999999,Not Fall
79,0.713333333333333,0.127333333333333,0.7436,-7.3612,0.417466666666666,0.00226666666666673,Not Fall
80,0.67,0.155066666666666,0.741466666666666,-6.428,1.51626666666666,-0.910133333333333,Not Fall
81,0.621599999999999,0.143333333333333,0.746933333333333,-4.74506666666666,0.859066666666666,-1.31359999999999,Not Fall
